customer_id,churn_probability_ground_truth,churned,churn_date
C00001,0.870116187772296,1,2026-10-08
C00002,0.7379504467636632,0,
C00003,0.3667350240852151,1,2026-09-22
C00004,0.2499040307411092,0,
C00005,0.5023208818159056,1,2026-09-22
C00006,0.3969145890621811,0,
C00007,0.08160046733992882,0,
C00008,0.7042159327204306,0,
C00009,0.956960866359293,1,2026-09-30
C00010,0.042086991649347594,0,
C00011,0.18587360281501905,1,2026-09-20
C00012,0.7194649758479372,1,2026-10-12
C00013,0.2846496826863526,0,
C00014,0.9893562246604741,1,2026-09-17
C00015,0.9655030040013849,1,2026-09-17
C00016,0.1782715463258302,0,
C00017,0.7240282646394134,1,2026-10-10
C00018,0.5532869800752866,0,
C00019,0.010857279555187754,0,
C00020,0.13951893664500475,1,2026-10-04
C00021,0.6194441170406773,1,2026-10-06
C00022,0.30297313018379346,0,
C00023,0.5954459152092676,0,
C00024,0.28882845490930964,1,2026-10-10
C00025,0.45666303517370954,1,2026-09-30
C00026,0.08339530180422541,0,
C00027,0.8875375179937234,1,2026-09-24
C00028,0.20608666266223027,0,
C00029,0.7708345541260591,0,
C00030,0.5399923627535231,1,2026-09-29
C00031,0.47816588862195497,0,
C00032,0.2863770402097462,0,
C00033,0.509088950259691,1,2026-10-07
C00034,0.543646554009774,0,
C00035,0.8590503772174257,1,2026-10-09
C00036,0.33983647248740867,0,
C00037,0.01,0,
C00038,0.5364882997680371,1,2026-10-13
C00039,0.99,1,2026-09-21
C00040,0.5483853537826265,0,
C00041,0.99,1,2026-10-04
C00042,0.2045804527421032,1,2026-09-25
C00043,0.99,1,2026-10-07
C00044,0.6184684836356347,0,
C00045,0.519204086633173,0,
C00046,0.8607629667221267,1,2026-10-09
C00047,0.4803628651706435,1,2026-09-24
C00048,0.7365749800288385,0,
C00049,0.9320899127098419,1,2026-09-30
C00050,0.3175411838304244,0,
C00051,0.99,1,2026-10-09
C00052,0.01,0,
C00053,0.01417268193799115,0,
C00054,0.6438028527258587,1,2026-10-12
C00055,0.7485129521578092,1,2026-10-07
C00056,0.1478353593303696,1,2026-09-26
C00057,0.7434238558478306,1,2026-10-11
C00058,0.246904970873308,0,
C00059,0.19079510898186156,0,
C00060,0.43579339372217685,0,
C00061,0.12327620077727192,0,
C00062,0.43621402307410995,1,2026-10-13
C00063,0.35014091333204433,0,
C00064,0.18942301829800853,0,
C00065,0.870432358370027,1,2026-10-03
C00066,0.718474749048009,1,2026-10-04
C00067,0.5249508423024674,0,
C00068,0.5217042482234485,0,
C00069,0.01,0,
C00070,0.44912723713722574,1,2026-10-08
C00071,0.8536354932363338,1,2026-09-30
C00072,0.8982895107607706,1,2026-09-18
C00073,0.13477102725510054,0,
C00074,0.10309719064580908,0,
C00075,0.8612450460281583,1,2026-10-07
C00076,0.09990584534360711,1,2026-09-30
C00077,0.6004140873712731,1,2026-09-23
C00078,0.01,0,
C00079,0.5432975574322864,0,
C00080,0.01,0,
C00081,0.6437571480993103,1,2026-09-22
C00082,0.01,0,
