customer_id,emails_opened,emails_clicked,csat_score,nps_score
C00001,2,1,3.89575996208794,
C00002,9,0,,
C00003,6,0,4.753692275004121,
C00004,5,1,,7.788462742995248
C00005,7,2,3.306600190860161,
C00006,3,2,5.0,7.615340064071116
C00007,7,1,,5.545244783525307
C00008,10,0,3.0467948158920537,
C00009,6,1,4.126718251084901,1.9864712121463746
C00010,5,3,,
C00011,4,0,4.764741221567812,7.250846138860952
C00012,1,3,,
C00013,4,0,5.0,
C00014,7,0,,
C00015,4,0,,4.073144008598096
C00016,6,0,4.071656637466809,9.387602545579865
C00017,2,0,4.325074495575712,
C00018,4,1,3.897270379789129,7.5268499406803135
C00019,3,1,,8.992400049938766
C00020,5,1,,
C00021,6,2,4.832140676312316,4.967553044239577
C00022,7,2,4.619485426212031,8.646351995493138
C00023,2,0,5.0,
C00024,9,1,,6.603737120672424
C00025,2,0,4.619810005065886,
C00026,6,2,3.8548590956929343,
C00027,4,0,3.504626856428318,2.64686000091138
C00028,5,0,,5.8117436204625506
C00029,8,1,,
C00030,2,1,4.264883876889106,
C00031,7,1,,
C00032,7,2,,5.771713317192144
C00033,10,0,,
C00034,6,2,2.8441664475330204,4.229301677581391
C00035,2,0,3.70164249610439,5.676045423485084
C00036,4,3,,7.21709081982662
C00037,6,1,4.584460106117942,8.154419244196692
C00038,4,1,4.164322642622951,
C00039,10,1,3.030450823461316,
C00040,3,2,4.205508657139404,8.115017942930335
C00041,2,0,1.5039474707259644,
C00042,12,1,5.0,6.874367735650593
C00043,4,3,,
C00044,4,1,,
C00045,3,1,2.770572192013085,
C00046,6,1,,
C00047,7,1,,6.977225544631948
C00048,4,1,,10.0
C00049,3,0,,3.3391410810785436
C00050,6,2,4.735424615906878,9.366158821451599
C00051,14,1,,3.6300936389650658
C00052,8,1,,
C00053,4,0,,
C00054,4,1,3.683487752312435,8.216804236161149
C00055,5,1,1.517724900574105,0.6705754359908203
C00056,6,1,5.0,8.588844955159441
C00057,8,1,4.860996205238967,9.069392720106363
C00058,2,4,5.0,8.209679459039029
C00059,3,3,4.03364038318181,
C00060,4,1,3.4355364845267875,9.883453897494833
C00061,6,1,3.829779508104108,
C00062,2,1,4.952353785404935,
C00063,1,0,4.032046766896014,
C00064,7,0,,
C00065,10,1,,4.739456968050551
C00066,5,0,3.529233609407903,
C00067,1,0,5.0,6.520395984866808
C00068,7,0,4.150519732543605,10.0
C00069,3,2,,7.078070157063409
C00070,6,1,,5.518655177817933
C00071,6,1,,
C00072,2,0,,
C00073,5,1,,
C00074,6,0,3.592074799947344,
C00075,5,0,3.848028380424851,4.86598950127348
C00076,5,1,4.619134702255763,7.742311887084335
C00077,7,1,4.40145894081033,
C00078,6,1,,
C00079,8,1,,
C00080,8,0,4.508757740161116,9.057055950938452
C00081,6,1,,7.877874057349175
C00082,4,1,,8.491980272201161
C00083,3,0,4.768079786716319,
C00084,4,1,4.132278026065997,
C00085,4,4,,
C00086,5,1,5.0,
C00087,6,0,4.116412773445889,
C00088,5,0,4.333338667252098,
C00089,5,0,,
C00090,4,2,,7.187019163440312
C00091,6,1,2.5808789655523654,3.240984775866509
C00092,4,0,4.993095598175956,8.050832397595217
C00093,2,1,4.463276928102543,7.543703776033535
C00094,5,0,5.0,8.179485573315441
C00095,6,0,5.0,
C00096,2,0,3.540049219958712,
C00097,2,1,,7.655275685672182
C00098,9,0,4.080666843986533,6.017651858045088
C00099,1,3,2.9990492300202383,6.429172318032404
C00100,6,1,,
C00101,4,0,3.6810797955152608,
C00102,0,2,3.62464600824054,8.431864707922887
C00103,6,3,5.0,
C00104,2,2,3.7916760288336544,3.5709525231924313
C00105,6,1,3.670395150946033,
C00106,5,1,4.295711483307415,
C00107,5,4,2.475023861482375,
C00108,8,0,4.217351779248884,0.0
C00109,3,1,3.2907300094466954,5.372839637958327
C00110,6,0,3.6308679266750628,3.6836930466334055
C00111,8,0,,10.0
C00112,6,2,,
C00113,4,0,4.6126748031483915,
C00114,7,1,,4.175908887962327
C00115,4,0,5.0,
C00116,8,0,3.054269061301916,
C00117,1,1,2.9619466085118593,
C00118,4,0,,
C00119,10,0,4.148113947845525,8.676935277653092
C00120,4,1,,
C00121,6,0,3.535929949212826,
C00122,3,0,4.51524582143875,
C00123,2,1,,1.4619501573008074
C00124,5,2,,
C00125,4,1,2.5260155339103423,
C00126,7,5,4.462673071042217,6.365857348975546
C00127,6,2,,
C00128,9,0,,7.544359687311215
C00129,3,1,,
C00130,5,0,4.02818750778076,7.779801238265952
C00131,12,1,,
C00132,5,2,,6.893261114209586
C00133,4,0,4.688504916000269,10.0
C00134,1,2,1.5602156364484323,5.155896929904003
C00135,7,1,4.133345129399706,6.730239434728852
C00136,7,0,,9.764520369847421
C00137,5,4,4.287322645316891,
C00138,4,0,,8.37376239684855
C00139,3,0,,7.323574708892007
C00140,5,0,5.0,
C00141,8,1,,
C00142,5,2,,3.2578283050894794
C00143,9,0,,6.7686546984165314
C00144,3,2,,8.015991080729249
C00145,4,0,4.2381841843706844,8.221766890957843
C00146,8,3,4.773938873572397,
C00147,5,2,4.946169153581553,7.9118850293272205
C00148,11,0,4.175200943542926,
C00149,3,0,,
C00150,2,1,4.088490582510244,5.163802539917865
C00151,4,2,3.9052631619899314,6.8622814741147184
C00152,3,0,5.0,6.762226532816619
C00153,11,0,4.619492318414365,
C00154,4,1,4.461870832561595,8.74767043643305
C00155,3,0,,
C00156,4,1,,
C00157,4,3,4.608216940448762,
C00158,3,1,4.262422076389653,8.600198725542176
