customer_id,country,industry,company_size,acquisition_channel
C00001,USA,Finance,51-200,Event
C00002,India,Finance,201-500,Direct
C00003,Germany,Education,1-10,Paid Ads
C00004,Canada,Retail,1000+,Direct
C00005,USA,Finance,1-10,Organic Search
C00006,USA,Manufacturing,1000+,Event
C00007,USA,Finance,501-1000,Referral
C00008,Australia,Manufacturing,1000+,Direct
C00009,Canada,Finance,501-1000,Referral
C00010,Germany,Manufacturing,51-200,Referral
C00011,USA,Finance,501-1000,Event
C00012,India,Finance,201-500,Direct
C00013,France,Healthcare,501-1000,Referral
C00014,USA,Manufacturing,201-500,Organic Search
C00015,USA,Manufacturing,1000+,Paid Ads
C00016,USA,Manufacturing,1000+,Paid Ads
C00017,USA,Technology,1000+,Event
C00018,UK,Finance,501-1000,Direct
C00019,UK,Manufacturing,1000+,Direct
C00020,USA,Education,501-1000,Paid Ads
C00021,Canada,Technology,501-1000,Organic Search
C00022,USA,Healthcare,11-50,Paid Ads
C00023,USA,Manufacturing,11-50,Paid Ads
C00024,USA,Manufacturing,501-1000,Direct
C00025,UK,Technology,201-500,Referral
C00026,France,Finance,51-200,Organic Search
C00027,USA,Education,1-10,Direct
C00028,UK,Healthcare,11-50,Paid Ads
C00029,Canada,Manufacturing,501-1000,Referral
C00030,USA,Finance,1-10,Organic Search
C00031,Canada,Education,11-50,Event
C00032,USA,Education,51-200,Organic Search
C00033,USA,Healthcare,201-500,Organic Search
C00034,India,Retail,501-1000,Paid Ads
C00035,India,Education,51-200,Paid Ads
C00036,France,Retail,11-50,Event
C00037,USA,Education,501-1000,Event
C00038,USA,Healthcare,1-10,Event
C00039,Germany,Technology,1000+,Direct
C00040,UK,Healthcare,201-500,Direct
C00041,USA,Healthcare,11-50,Paid Ads
C00042,UK,Technology,201-500,Paid Ads
C00043,USA,Technology,501-1000,Event
C00044,India,Finance,1000+,Direct
C00045,USA,Education,51-200,Referral
C00046,Germany,Finance,201-500,Direct
C00047,USA,Technology,1-10,Paid Ads
C00048,UK,Retail,11-50,Direct
C00049,UK,Retail,1-10,Paid Ads
C00050,USA,Healthcare,201-500,Event
C00051,India,Manufacturing,1000+,Event
C00052,France,Healthcare,51-200,Event
C00053,India,Healthcare,51-200,Referral
C00054,Australia,Manufacturing,1-10,Referral
C00055,Canada,Education,501-1000,Paid Ads
C00056,India,Technology,501-1000,Organic Search
C00057,USA,Retail,1000+,Referral
C00058,USA,Healthcare,51-200,Paid Ads
C00059,USA,Manufacturing,1-10,Direct
C00060,USA,Finance,1-10,Event
C00061,USA,Healthcare,1-10,Event
C00062,USA,Retail,201-500,Event
C00063,France,Technology,1000+,Paid Ads
C00064,USA,,501-1000,Event
C00065,USA,,501-1000,Referral
C00066,UK,Education,201-500,Direct
C00067,USA,Manufacturing,11-50,Event
C00068,France,Finance,201-500,Paid Ads
C00069,USA,Finance,1000+,Direct
C00070,India,Technology,1-10,Event
C00071,France,Retail,201-500,Organic Search
C00072,USA,Technology,1-10,Event
C00073,USA,Healthcare,1000+,Referral
C00074,France,Healthcare,1000+,Direct
C00075,Germany,Finance,51-200,Referral
C00076,Germany,Retail,1-10,Organic Search
C00077,France,Manufacturing,501-1000,Organic Search
C00078,USA,Retail,201-500,Referral
C00079,USA,Healthcare,1000+,Direct
C00080,USA,Manufacturing,1-10,Organic Search
C00081,Australia,Retail,11-50,Organic Search
C00082,Canada,,51-200,Event
C00083,USA,Manufacturing,11-50,Paid Ads
C00084,USA,Healthcare,1000+,Organic Search
C00085,USA,Retail,11-50,Direct
C00086,USA,Manufacturing,11-50,Direct
C00087,Germany,Education,51-200,Event
C00088,Canada,Education,51-200,Direct
C00089,Australia,Healthcare,51-200,Event
C00090,UK,Manufacturing,51-200,Organic Search
C00091,USA,Education,11-50,Organic Search
C00092,Germany,Manufacturing,501-1000,Organic Search
C00093,France,Retail,501-1000,Organic Search
C00094,Canada,Healthcare,51-200,Paid Ads
C00095,France,Education,201-500,Paid Ads
C00096,UK,Retail,1-10,Organic Search
C00097,UK,Technology,1000+,Direct
C00098,UK,Technology,201-500,Event
C00099,USA,Healthcare,1000+,Referral
C00100,USA,,201-500,Event
C00101,USA,Education,201-500,Referral
C00102,Canada,Education,501-1000,Referral
C00103,USA,Manufacturing,1-10,Organic Search
C00104,UK,Retail,201-500,Referral
C00105,India,Education,51-200,Organic Search
C00106,USA,Retail,1000+,Paid Ads
C00107,UK,Healthcare,501-1000,Direct
C00108,France,Education,1000+,Referral
C00109,USA,Healthcare,51-200,Direct
C00110,USA,Education,51-200,Organic Search
C00111,USA,Technology,201-500,Referral
C00112,USA,Finance,51-200,Event
C00113,India,Healthcare,1-10,Paid Ads
C00114,France,,51-200,Paid Ads
C00115,Canada,Finance,201-500,Referral
C00116,Australia,Healthcare,1000+,Paid Ads
C00117,France,Manufacturing,51-200,Event
C00118,USA,Education,501-1000,Direct
C00119,Australia,Manufacturing,501-1000,Event
C00120,UK,Technology,501-1000,Paid Ads
