customer_id,plan_type,contract_type,payment_method,tenure_months,auto_renew,discount_percent,annual_revenue,monthly_charges
C00001,Professional,Annual,Invoice,50,False,0,5840.5839139640875,486.715326163674
C00002,Starter,Annual,Invoice,57,True,10,1082.3062772452777,90.19218977043981
C00003,Professional,Annual,PayPal,45,False,10,5938.96732886153,494.9139440717942
C00004,Professional,Month-to-Month,PayPal,34,True,0,6337.910672380651,528.1592226983876
C00005,Enterprise,2-Year,PayPal,19,True,0,23778.554585593152,1981.546215466096
C00006,Starter,2-Year,Credit Card,34,False,0,1194.4500681549157,99.53750567957631
C00007,Starter,Month-to-Month,PayPal,59,True,0,1129.1387066911827,94.09489222426522
C00008,Starter,Annual,PayPal,36,True,0,1202.7784534031982,100.23153778359985
C00009,Professional,Annual,Credit Card,4,False,20,4661.829767389219,388.4858139491016
C00010,Starter,Annual,Invoice,10,False,0,1193.9836087381261,99.49863406151051
C00011,Professional,Annual,Credit Card,17,True,0,5675.062416944327,472.92186807869393
C00012,Professional,Annual,Invoice,56,True,0,5196.162805935688,433.0135671613073
C00013,Starter,2-Year,Credit Card,16,True,0,1314.4559447846254,109.53799539871879
C00014,Professional,Annual,PayPal,21,False,0,6343.871940689406,528.6559950574505
C00015,Enterprise,Month-to-Month,Credit Card,28,True,0,23362.866774074224,1946.9055645061853
C00016,Professional,Annual,PayPal,8,False,0,5806.913612357574,483.90946769646445
C00017,Starter,Month-to-Month,Invoice,29,True,0,1033.350472630797,86.11253938589975
C00018,Starter,Annual,PayPal,6,True,0,1327.9053896844111,110.65878247370092
C00019,Professional,Annual,Credit Card,30,True,0,6752.369952882222,562.6974960735184
C00020,Starter,Month-to-Month,Credit Card,2,True,0,1189.4414108297378,99.12011756914482
C00021,Professional,Month-to-Month,Invoice,55,True,0,6196.069287711353,516.3391073092795
C00022,Enterprise,Annual,PayPal,58,True,0,21627.116233028977,1802.2596860857482
C00023,Professional,Month-to-Month,Invoice,47,True,0,6051.359204566695,504.27993371389124
C00024,Starter,Month-to-Month,PayPal,31,True,0,1117.4398131299527,93.11998442749605
C00025,Starter,Annual,PayPal,25,True,0,1117.8556628825409,93.15463857354507
C00026,Enterprise,2-Year,Invoice,23,True,0,23307.367069247714,1942.2805891039761
C00027,Enterprise,Annual,Invoice,43,False,10,20683.53875488209,1723.6282295735075
C00028,Starter,Annual,PayPal,21,True,0,1184.6080421485765,98.71733684571471
C00029,Starter,Annual,Invoice,16,True,0,1326.7975596868057,110.5664633072338
C00030,Professional,Month-to-Month,PayPal,4,False,0,4732.81903488855,394.4015862407125
C00031,Starter,Annual,Invoice,43,True,20,908.8061159297418,75.73384299414515
C00032,Starter,Annual,Invoice,46,False,20,1020.6490163441593,85.05408469534662
C00033,Starter,2-Year,Invoice,8,True,0,1223.366198970464,101.94718324753866
C00034,Starter,2-Year,Credit Card,6,True,0,1106.4294565670402,92.20245471392002
C00035,Starter,Month-to-Month,Invoice,53,True,0,1452.6241307176615,121.05201089313846
C00036,Starter,2-Year,Credit Card,55,True,0,1523.5614448390425,126.96345373658687
C00037,Starter,2-Year,PayPal,27,True,0,1198.1392673244354,99.84493894370296
C00038,Professional,Annual,PayPal,51,True,0,5405.1357022349675,450.4279751862473
C00039,Professional,Month-to-Month,Invoice,57,False,0,5849.329519996067,487.4441266663389
C00040,Starter,Annual,Credit Card,36,True,0,1064.7215931581009,88.72679942984173
C00041,Enterprise,Month-to-Month,PayPal,36,True,0,24961.551240684854,2080.129270057071
C00042,Starter,Annual,Credit Card,24,True,20,1015.2538291956078,84.60448576630064
C00043,Starter,Month-to-Month,Credit Card,6,False,0,1318.2387495220673,109.85322912683894
C00044,Starter,Annual,PayPal,43,True,10,1123.1375554027377,93.59479628356148
C00045,Professional,2-Year,Credit Card,33,True,0,6137.255704436604,511.437975369717
C00046,Starter,Month-to-Month,Credit Card,2,False,0,1079.094199146076,89.92451659550635
C00047,Starter,Annual,PayPal,41,False,10,947.9716508816913,78.99763757347428
C00048,Professional,Month-to-Month,Invoice,16,True,0,4787.536121116197,398.96134342634974
C00049,Professional,Annual,Invoice,38,False,0,6048.530321653899,504.0441934711582
C00050,Professional,Annual,Credit Card,55,True,0,6517.960552875116,543.1633794062597
C00051,Professional,Month-to-Month,Invoice,59,False,0,6691.005472298463,557.5837893582053
C00052,Enterprise,Annual,PayPal,9,True,0,26010.256542263123,2167.521378521927
C00053,Starter,Annual,PayPal,51,False,0,1155.9360480795535,96.32800400662946
C00054,Starter,Month-to-Month,PayPal,5,False,0,1423.0982660227553,118.59152216856295
C00055,Enterprise,Annual,Credit Card,53,True,0,21722.89314220772,1810.2410951839765
C00056,Professional,Annual,PayPal,10,True,0,5402.701246728568,450.2251038940473
C00057,Professional,Month-to-Month,Credit Card,30,True,0,6460.022767642105,538.3352306368421
C00058,Starter,2-Year,Credit Card,7,True,10,1231.873894703005,102.65615789191708
C00059,Starter,Annual,PayPal,29,True,0,1415.1178883857099,117.92649069880916
C00060,Starter,Month-to-Month,PayPal,2,False,0,1319.65279595504,109.97106632958666
C00061,Starter,Month-to-Month,Credit Card,20,True,20,1030.521617948929,85.87680149574408
C00062,Starter,Annual,PayPal,59,True,0,1297.5391526822161,108.128262723518
C00063,Starter,Annual,Invoice,4,True,0,1166.6255694980644,97.21879745817203
C00064,Professional,Annual,Credit Card,28,True,0,5519.23210272062,459.9360085600517
C00065,Starter,Annual,Credit Card,8,True,0,1232.9648235280088,102.74706862733406
C00066,Starter,Annual,PayPal,58,True,0,996.5205572016523,83.04337976680436
C00067,Starter,Annual,PayPal,35,False,0,1162.9998324567332,96.91665270472777
C00068,Starter,Annual,Credit Card,2,False,0,1136.3137200473059,94.69281000394216
C00069,Starter,2-Year,Credit Card,41,False,0,1269.9925991587788,105.83271659656491
C00070,Starter,2-Year,Credit Card,28,False,10,1103.7741268026814,91.98117723355678
C00071,Starter,Annual,PayPal,11,True,0,1378.3765584869968,114.86471320724974
C00072,Professional,Annual,Credit Card,36,False,10,5844.034355687745,487.0028629739788
C00073,Starter,Month-to-Month,Invoice,9,True,10,1010.9754496380027,84.24795413650023
C00074,Professional,Month-to-Month,Invoice,38,True,0,6403.506797428867,533.6255664524056
C00075,Enterprise,Annual,PayPal,1,True,0,19854.56460666183,1654.5470505551523
C00076,Professional,Annual,Credit Card,27,True,0,6439.437675333052,536.6198062777543
C00077,Starter,Month-to-Month,Credit Card,3,True,0,1110.4599676787352,92.5383306398946
C00078,Starter,Annual,Invoice,39,True,10,1014.3599618170254,84.52999681808545
C00079,Professional,2-Year,Credit Card,9,True,0,6805.785382846354,567.1487819038629
C00080,Enterprise,2-Year,PayPal,40,True,0,24934.890038766902,2077.907503230575
C00081,Enterprise,Annual,PayPal,28,False,0,23536.557378558904,1961.3797815465753
C00082,Starter,Annual,PayPal,21,True,0,1321.9668985775377,110.1639082147948
C00083,Professional,Month-to-Month,Credit Card,28,False,0,6883.95882348976,573.6632352908133
C00084,Enterprise,Annual,Credit Card,45,True,0,21600.685314008024,1800.0571095006687
C00085,Professional,2-Year,Invoice,24,True,0,5571.751236894906,464.31260307457546
C00086,Starter,Annual,Invoice,18,True,0,1297.3432590368068,108.11193825306724
C00087,Starter,Annual,PayPal,51,False,0,1236.7911636129093,103.06593030107577
C00088,Starter,Month-to-Month,Credit Card,56,True,0,976.6647810267856,81.38873175223213
C00089,Starter,Annual,Credit Card,9,True,0,1413.9221423710358,117.82684519758631
C00090,Professional,Annual,PayPal,26,True,0,5710.936783575966,475.9113986313305
C00091,Enterprise,Annual,PayPal,24,True,0,21588.174434237077,1799.0145361864231
C00092,Enterprise,Month-to-Month,Invoice,52,True,0,24027.850131361272,2002.320844280106
C00093,Starter,Annual,Invoice,6,False,0,1308.2497990926845,109.02081659105704
C00094,Professional,Month-to-Month,PayPal,59,True,0,6680.798698116671,556.733224843056
C00095,Starter,Annual,Credit Card,53,True,0,1206.860250610848,100.571687550904
C00096,Professional,Annual,Invoice,12,True,0,7521.4972618925385,626.7914384910449
C00097,Professional,Annual,PayPal,36,True,0,7693.837218377715,641.1531015314762
C00098,Starter,Annual,Credit Card,9,False,0,1253.7563106170994,104.47969255142495
C00099,Starter,Annual,PayPal,10,False,0,1192.5504493936376,99.37920411613646
