customer_id,support_tickets_30d,support_tickets_90d,open_tickets,avg_resolution_hours,escalation_count
C00001,0,1,1,56.972647579302624,0
C00002,4,5,0,5.912568788951589,0
C00003,0,0,0,10.343050185195743,0
C00004,0,0,0,6.3865025158361926,0
C00005,3,3,0,61.766491100043424,0
C00006,1,4,0,7.757942747214829,0
C00007,1,2,0,10.202694202268061,0
C00008,0,1,0,20.8226242387241,0
C00009,1,1,3,23.85484563383852,0
C00010,0,1,0,10.82831146176365,0
C00011,0,3,0,9.647168057309722,0
C00012,5,6,0,20.392532247254476,0
C00013,0,2,0,4.66169007409792,0
C00014,5,9,3,36.193553503036874,2
C00015,9,9,1,34.004429222631835,0
C00016,0,1,0,7.891845228531992,0
C00017,1,1,0,6.394214426912027,0
C00018,0,2,0,11.15077669659827,0
C00019,0,1,0,5.23554903169345,0
C00020,0,0,0,13.895869710103256,0
C00021,0,1,0,10.053128858788613,0
C00022,1,2,0,11.16855937186016,0
C00023,0,2,0,1.0,0
C00024,0,2,0,11.757569327567424,0
C00025,0,0,0,16.046561653014006,0
C00026,0,0,0,15.574734205036087,0
C00027,6,6,2,25.339401855674218,0
C00028,1,2,0,3.421145843993692,0
C00029,4,6,1,1.0,0
C00030,1,1,0,16.027307184354992,0
C00031,1,1,0,1.0,0
C00032,0,0,0,12.917480912663843,0
C00033,4,4,0,7.681881145802194,0
C00034,5,7,0,32.9626052397994,0
C00035,4,5,0,89.45737295364464,0
C00036,0,2,0,2.37273509000822,0
C00037,0,0,0,7.577806386699968,0
C00038,0,1,0,11.692186816352153,0
C00039,4,5,3,33.27892392052704,3
C00040,0,1,0,13.51717876879737,0
C00041,1,1,3,86.73313258039404,0
C00042,1,2,0,19.383094879569242,0
C00043,6,8,0,43.14895615606945,0
C00044,1,1,0,33.152674158503764,0
C00045,3,5,0,47.867166493072816,0
C00046,1,2,0,49.36891270718714,0
C00047,0,3,0,13.20992653085296,0
C00048,0,1,0,16.907797157625645,0
C00049,0,1,1,57.7359876253724,0
C00050,1,3,0,4.674328063012011,0
C00051,3,4,1,69.6535425843866,1
C00052,0,1,0,7.660997554016289,0
C00053,1,1,0,11.489119319231207,0
C00054,0,0,0,16.38034620808915,0
C00055,2,2,0,1.0,0
C00056,0,0,0,10.918058089635934,0
C00057,0,1,0,19.50253990544421,0
C00058,1,2,0,6.7213378300256075,0
C00059,1,1,0,14.520154207311293,0
C00060,0,1,0,8.217529570599416,0
C00061,0,1,0,1.0,0
C00062,0,1,0,10.411248087153943,0
C00063,0,1,0,9.388280332581338,0
C00064,0,4,0,11.054722575755072,0
C00065,1,2,1,70.93812166165354,2
C00066,5,5,0,62.94791802840372,0
C00067,1,2,0,11.829339602265867,0
C00068,1,4,0,16.38765212966587,0
C00069,0,0,0,17.813523763059965,0
C00070,0,0,0,7.21996464517888,0
C00071,0,1,2,42.576789456820876,0
C00072,2,2,1,68.6837126469848,0
C00073,0,2,0,5.509178752882543,0
C00074,0,2,0,2.793224488896845,0
C00075,2,4,2,18.42683457719061,0
C00076,1,3,0,10.599678628158307,0
C00077,0,3,0,17.959958177376766,0
C00078,2,3,0,11.681232506537514,0
C00079,1,1,0,43.54334726370349,0
C00080,1,2,0,14.414587338545616,0
C00081,0,2,0,10.942579698494416,0
C00082,0,2,0,1.0,0
C00083,0,1,0,15.143265733987738,0
C00084,0,0,0,1.9185105034855265,0
C00085,0,2,0,14.220337950427723,0
C00086,0,2,0,9.582133923843992,0
C00087,0,2,0,11.873125083290368,0
C00088,1,2,0,4.037942265787725,0
C00089,2,2,3,22.00399695441294,0
C00090,1,3,0,9.959237700291073,0
C00091,3,4,1,49.135543966778016,0
C00092,0,1,0,9.660935001825397,0
C00093,0,1,0,26.45463914099673,0
C00094,2,2,0,17.28942081323146,0
C00095,1,3,0,11.015958799910528,0
C00096,2,4,0,10.81725607428191,0
C00097,2,5,0,4.731198696664752,0
C00098,1,2,0,14.702219022885876,0
C00099,0,3,2,22.33092218566321,0
C00100,5,5,2,54.02564108119451,1
C00101,0,2,0,19.117342538629735,0
C00102,0,1,0,12.625197365696415,0
C00103,1,1,0,11.007763723350262,0
C00104,0,1,0,55.95992927915357,0
C00105,2,2,3,22.10109692599528,3
C00106,1,2,0,11.376354368461717,0
C00107,0,0,0,1.0,0
C00108,1,1,0,34.029883862474264,0
C00109,1,2,0,32.7333965039516,0
C00110,0,0,0,1.0,0
C00111,0,1,0,16.364335041671445,0
C00112,0,2,0,31.048036066490763,0
C00113,1,2,0,14.441312856595731,0
C00114,0,1,0,31.215898963622866,0
C00115,0,1,0,1.2442638635025283,0
C00116,4,4,2,45.20845990033483,1
C00117,4,5,0,52.75600110684751,0
C00118,0,1,0,6.920216984126584,0
C00119,1,1,0,10.700878089842545,0
C00120,2,2,0,38.35879221881616,0
C00121,3,4,3,58.906471304727475,0
C00122,0,2,0,21.009349371914624,0
C00123,0,0,1,46.35423125920935,1
C00124,0,1,0,8.060217784468847,0
C00125,1,1,0,61.97946517454463,0
C00126,1,2,0,12.798268546125481,0
C00127,2,3,0,23.263755474116557,0
C00128,1,2,0,1.5961538555281631,0
C00129,0,0,0,26.720211721578867,0
C00130,3,3,0,18.655773367729545,0
C00131,1,3,0,27.64954327447271,0
C00132,0,0,0,13.905521360981178,0
C00133,0,1,0,11.09105610011337,0
C00134,0,1,0,44.01000441605706,0
C00135,0,3,0,17.079203583850088,0
C00136,0,1,0,12.06640085592967,0
C00137,0,0,0,9.526406416115558,0
C00138,0,3,0,22.168997878996393,0
C00139,0,1,0,11.078242693274248,0
C00140,1,2,0,16.238728966075435,0
C00141,0,0,0,18.147403905269623,0
C00142,4,7,2,39.81623777718254,0
C00143,0,0,0,14.135731594463705,0
C00144,0,1,0,20.991952215840517,0
C00145,1,3,0,10.826167047462688,0
C00146,1,1,0,10.206501315486717,0
C00147,1,2,0,16.18229553701505,0
C00148,1,1,0,38.13950715801786,0
C00149,0,0,0,1.0,0
C00150,0,2,0,9.927345832753911,0
C00151,2,3,0,13.628850776057556,0
C00152,0,1,0,12.782692071761744,0
C00153,0,0,0,19.650676715986492,0
C00154,0,2,0,41.456872230351834,0
C00155,0,2,0,9.866153609445908,0
C00156,0,1,0,12.533236045274496,0
C00157,2,2,0,21.206557483673286,0
C00158,1,1,0,11.194927731986585,0
C00159,1,3,2,4.631600636962297,0
C00160,0,1,0,19.450707971773223,0
C00161,1,2,0,12.261234619206439,0
C00162,0,0,0,15.24448285272038,0
C00163,1,1,0,9.132217108123275,0
C00164,1,1,0,17.754515866876396,0
C00165,0,0,0,9.536810296950742,0
C00166,0,0,0,7.9360371489877695,0
C00167,0,0,0,19.56839256930192,0
C00168,0,1,0,10.534880966163753,0
C00169,3,4,0,27.679092200057624,0
C00170,3,3,0,14.880290115957017,0
C00171,0,0,0,16.599868067075963,0
C00172,0,0,0,54.94129164657265,0
C00173,2,4,2,43.39370679662275,2
C00174,2,3,3,73.41154272704118,0
C00175,2,4,0,16.110400787505583,0
C00176,1,2,0,13.229260400335905,0
C00177,1,2,0,7.019157369852192,0
C00178,1,2,0,39.99027508852623,0
C00179,0,1,0,13.091603706569165,0
C00180,2,4,0,12.58941556238874,0
C00181,4,4,0,64.95376306831179,0
C00182,2,2,0,41.4519107767031,0
C00183,2,2,0,10.431432078658046,0
C00184,1,3,0,14.934037982286513,0
C00185,1,2,0,4.298991246271753,0
C00186,0,3,0,4.161012649234841,0
C00187,0,0,0,61.60189763585416,0
C00188,0,1,0,9.49909209969177,0
C00189,1,2,0,7.806625619092387,0
C00190,4,6,2,73.94211927481189,0
C00191,0,0,0,18.91508448584386,0
C00192,1,2,0,8.492239210434814,0
C00193,0,0,0,10.060960241399489,0
C00194,1,2,0,33.74124333607974,0
C00195,1,1,0,8.231005426373397,0
C00196,5,6,3,33.78452558100699,1
C00197,0,0,0,6.611780662741365,0
C00198,3,4,1,24.52556267982697,5
C00199,0,1,0,10.270673303195577,0
C00200,1,1,0,10.864615387850423,0
C00201,0,1,0,14.09814811764172,0
C00202,2,4,3,57.76295788746342,3
C00203,0,0,0,17.779724507504177,0
C00204,1,1,0,9.271409928045271,0
C00205,4,5,0,36.16919528713106,0
C00206,1,1,0,8.502225134717627,0
C00207,2,3,3,57.809622918112126,0
C00208,2,2,0,11.188029202732292,0
C00209,0,2,0,1.0,0
C00210,0,1,0,51.013990295154656,0
C00211,0,1,0,5.581378545179669,0
C00212,1,2,0,71.09685331941486,0
C00213,1,1,0,22.481043956602168,0
C00214,0,0,0,9.354568274538074,0
C00215,0,0,0,13.552622560774086,0
C00216,0,1,0,15.500539693642642,0
C00217,2,3,0,7.690939814374415,0
C00218,0,2,0,13.234445331822034,0
C00219,1,2,0,17.199378385832432,0
C00220,2,2,1,43.430873197760285,3
C00221,0,1,0,23.176355604597923,0
C00222,2,3,3,66.27304754742896,0
C00223,1,1,1,77.92592678945168,0
C00224,5,7,0,41.753967779098886,0
C00225,0,1,0,10.067987717704447,0
C00226,0,0,1,48.59965967412043,0
C00227,1,1,0,8.158648491855235,0
C00228,1,4,0,6.890162019692816,0
C00229,2,5,3,16.025391317093877,1
C00230,2,2,0,6.248073250445828,0
C00231,0,3,0,10.336649799295026,0
C00232,1,2,0,16.268538385781248,0
C00233,1,4,0,11.874780549928614,0
C00234,1,1,0,7.832746629436684,0
C00235,2,3,1,25.201072769582215,1
C00236,0,1,0,11.901265855132928,0
C00237,0,3,0,13.708561545399998,0
C00238,1,3,0,16.89566644675154,0
C00239,1,3,0,16.782018784259744,0
C00240,0,1,0,4.405228480095914,0
C00241,0,1,0,12.59728427511093,0
C00242,0,1,0,14.278162686496472,0
C00243,0,0,0,11.40377097015289,0
C00244,0,1,0,4.250056031718218,0
C00245,0,1,0,15.847018292283998,0
C00246,1,1,2,45.750466835862944,2
C00247,1,2,0,19.587622500435632,0
C00248,0,2,0,12.440365929364395,0
C00249,2,3,0,34.03108939825529,0
C00250,0,0,0,19.79839567998124,0
C00251,4,6,0,48.66230477443967,0
C00252,0,0,0,10.746629750041611,0
C00253,0,1,0,27.480712648922367,0
C00254,1,3,0,16.347123738239276,0
C00255,0,1,0,17.442074484830478,0
C00256,0,2,0,2.99755888250621,0
C00257,2,3,0,12.20054993361108,0
C00258,0,0,0,10.734559786961144,0
C00259,0,0,0,8.12264313788651,0
C00260,0,2,0,17.307675832427737,0
C00261,0,1,0,54.04650780220044,0
C00262,2,4,0,50.46462587174814,0
C00263,1,3,0,16.65273039194577,0
C00264,1,2,0,7.647771823596998,0
C00265,1,2,0,37.75656945073192,0
C00266,7,9,2,65.58057132316135,1
C00267,0,0,0,19.802415059069105,0
C00268,0,3,0,8.684750661567481,0
C00269,0,0,0,13.12977903491262,0
C00270,0,2,0,25.659771924493544,0
C00271,4,7,1,64.3704104437509,2
C00272,0,2,0,5.649237248375911,0
C00273,1,3,0,1.0,0
C00274,3,7,3,48.65368834083213,3
C00275,0,0,0,15.902808096899957,0
C00276,1,2,0,8.399148829649187,0
C00277,1,1,0,18.104333364526504,0
C00278,0,1,0,5.9638952383436035,0
C00279,0,0,0,11.684146451900736,0
C00280,0,2,0,13.119000543720434,0
C00281,0,0,0,16.239010665966084,0
C00282,2,4,0,16.81747786432063,0
C00283,2,2,2,25.784383687380327,0
C00284,0,2,0,14.032765525727763,0
C00285,0,2,0,5.350084529118149,0
C00286,1,2,0,10.253566204685818,0
C00287,0,0,0,13.305415221944353,0
C00288,0,1,0,13.895659905336927,0
C00289,0,3,0,11.363111117003502,0
C00290,0,1,0,7.885318453293776,0
C00291,4,4,0,65.94954989704968,0
C00292,0,0,0,22.6791626138666,0
C00293,0,1,0,13.831830873374797,0
C00294,1,2,0,12.902624695832536,0
C00295,0,0,0,16.948379151949837,0
C00296,0,2,0,6.927197123232978,0
C00297,1,4,0,45.36303464150762,0
C00298,1,4,0,75.82424203094084,0
